Ball Number,Number of Times Drawn
8,263
31,256
26,256
4,251
19,251
38,249
49,245
15,245
21,244
17,242
14,240
35,237
5,237
24,236
12,236
44,234
9,234
16,234
7,234
27,232
18,232
34,232
42,230
29,230
37,229
41,228
22,228
25,227
39,227
10,224
52,223
36,223
54,223
6,220
28,219
20,219
13,219
23,218
51,217
43,216
3,215
1,214
40,213
2,211
53,210
32,210
47,209
46,207
33,205
30,204
50,200
48,200
11,199
45,191
